Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
  103    0 0xffffff7f8262f000 0x4000     0x4000     com.apple.driver.Apple16X50ACPI (3.2) CF1E762A-B725-3224-BFC8-337562BE0BDC <102 12 5 3>
  106   13 0xffffff7f81879000 0x51000    0x51000    com.apple.iokit.IOGraphicsFamily (575.1) D47CA481-C5E5-3F03-9B04-6634DF5F3121 <13 8 6 5 3 1>
  107    1 0xffffff7f82633000 0x10000    0x10000    com.apple.iokit.IONDRVSupport (575.1) F0DC1D84-2124-387D-A8DD-B40C6023AD3B <106 13 8 6 5 3>
  108    0 0xffffff7f83679000 0x97000    0x97000    com.apple.driver.AppleGFXHDA (100.1.426) 8998455D-D64B-3C56-A4FB-5DAEAC6C3705 <107 106 87 13 8 7 6 5 3 1>
  109    3 0xffffff7f8250f000 0xa000     0xa000     com.apple.driver.IOPlatformPluginFamily (6.0.0d8) 17CB276E-670F-34E8-B189-8906712914D8 <12 8 7 6 5 3>
  110    1 0xffffff7f8252b000 0x12000    0x12000    com.apple.driver.IOPlatformPluginLegacy (1.0.0) 0BF57033-D03C-3CA9-9E34-9176579C99D7 <109 12 8 7 6 5 3>
  111    0 0xffffff7f8253f000 0x15000    0x15000    com.apple.driver.ACPI_SMC_PlatformPlugin (1.0.0) 9666D0A8-264A-3F31-96E9-3EA651CF87E0 <110 109 15 13 12 8 7 6 5 3>
  112    1 0xffffff7f818d8000 0x6000     0x6000     com.apple.iokit.IOSlowAdaptiveClockingFamily (1.0.0) 54D65164-FAA3-3491-B373-5ADAA9770A16 <8 7 6 5 3 1>
  113    0 0xffffff7f831f5000 0x4000     0x4000     com.apple.driver.AppleIntelSlowAdaptiveClocking (4.0.0) D781E3A2-FFD3-3235-B2FE-D37E9964CD0E <112 5 3>
  115    4 0xffffff7f81bb0000 0xa000     0xa000     com.apple.AppleGraphicsDeviceControl (5.1.16) 56FDE242-D4A6-3E8F-A81C-CE9BA61E3828 <106 13 8 7 6 5 3 1>
  116    2 0xffffff7f81be7000 0x206000   0x206000   com.apple.kext.AMDSupport (3.0.8) 6F5D9E4A-5DC8-3A3F-86E3-CF1AA832867F <115 106 13 12 8 6 5 3 1>
  117    0 0xffffff7f80f10000 0x7000     0x7000     com.intel.driver.EnergyDriver (3.6.1) CF3549FA-B79E-34E2-BF25-6C5FEF5EF262 <8 6 5 3>
  120    0 0xffffff7f81bda000 0xd000     0xd000     com.apple.AppleGPUWrangler (5.1.16) DBCA92EB-1F6B-33C7-A4FC-57D9EA1DB8C4 <115 106 13 8 7 6 5 3 1>
  121    0 0xffffff7f82519000 0x5000     0x5000     com.apple.driver.AppleLPC (3.1) 0A66EC1F-DBE0-335B-978F-D24A063D6441 <109 13 6 5 3>
  122    0 0xffffff7f81211000 0x14000    0x14000    de.rme-audio.driver.RMEFirefaceUSB (3.19) 04ADFFBE-16C5-3D7C-B904-6F1EA5BDB4E8 <87 27 6 5 3>
  123    0 0xffffff7f81e0c000 0xfc000    0xfc000    com.apple.kext.AMD9500Controller (3.0.8) B5D08BE6-8777-38D1-8258-2C4A5DAE4C46 <116 115 106 13 12 6 5 3 1>
  124    0 0xffffff7f83412000 0x6000     0x6000     com.apple.Dont_Steal_Mac_OS_X (7.0.0) EF455733-D4BE-3816-AC3B-5A3BE0B9EE18 <15 10 8 5 3 1>
  125    0 0xffffff7f83725000 0x6000     0x6000     com.apple.private.KextAudit (1.0) 9884B03A-3DF4-3805-B9E3-FADA59D0BDEF <15 8 7 6 5 3>
  126    0 0xffffff7f83356000 0x21000    0x21000    com.apple.driver.pmtelemetry (1) 67E0BF8A-EC1D-338A-BD80-3EF55847F976 <8 7 6 5 3 1>
  127    0 0xffffff7f81873000 0x6000     0x6000     com.apple.driver.eficheck (1) D9B53858-9EAD-37ED-B7A0-B8F8FF343E44 <63 13 5 3 1>
  128    1 0xffffff7f826f2000 0xf000     0xf000     com.apple.iokit.IOBluetoothPacketLogger (7.0.4f6) 531E71F9-6C9A-3389-AFD1-15E67AD6D99F <7 6 5 3 1>
  129    0 0xffffff7f82701000 0xfd000    0xfd000    com.apple.iokit.IOBluetoothFamily (7.0.4f6) 51107598-1753-36B6-B724-EAB1A97BE563 <128 27 17 12 8 7 6 5 3 1>
  130    0 0xffffff7f8331b000 0xe000     0xe000     com.apple.iokit.IOBluetoothSerialManager (7.0.4f6) 66B93315-ACE4-3C01-9612-CBB0C4D0131A <85 8 6 5 3 1>
  131    0 0xffffff7f8305d000 0xd000     0xd000     com.apple.driver.AppleSSE (1.0) CC8B0B29-3581-33A6-A21A-1BD5D891B15B <33 32 31 8 6 5 3 1>
  132    0 0xffffff7f82f47000 0xa000     0xa000     com.apple.iokit.IOUserEthernet (1.0.1) DA0479DD-2C7D-3DDF-89B4-EB6DF9F6886D <18 7 6 5 3 1>
  133    0 0xffffff7f826db000 0xf000     0xf000     com.apple.driver.AppleHV (1) 62AB978A-C4F8-3895-BBD3-730DCBA545B5 <8 7 6 5 3 1>
  134    0 0xffffff7f81255000 0x76000    0x76000    com.paragon-software.kext.VDMounter (1370.2) B5F56D88-1A9D-3ED3-BA4A-AEF9F318AA54 <28 6 5 3 1>
  135    0 0xffffff7f81bbc000 0x4000     0x4000     com.apple.AGDCPluginDisplayMetrics (5.1.16) FE1760DC-E83C-3243-983E-46F59223DA26 <115 8 7 6 5 3 1>
  138    0 0xffffff7f8251e000 0xd000     0xd000     com.apple.kext.AMDRadeonServiceManager (3.0.8) ED42A679-D26E-3216-8830-72C1109B43C7 <13 5 3 1>
  139    0 0xffffff7f84958000 0x11000    0x11000    com.apple.kext.AMDRadeonX4000HWServices (3.0.8) A1796116-D383-393E-B3B1-94C94F5E8F67 <106 13 12 8 6 5 3 1>
  140    1 0xffffff7f828ca000 0xc5000    0xc5000    com.apple.iokit.IOAcceleratorFamily2 (438.4.5) 33DA860E-90A6-3224-A944-93FA125B054E <106 81 21 17 13 8 7 6 5 3 1>
  141    0 0xffffff7f829a3000 0x554000   0x554000   com.apple.kext.AMDRadeonX4000 (3.0.8) 18454DEA-3F35-3412-A6BB-E4276F91DB68 <140 106 81 13 8 6 5 3 1>
  142    0 0xffffff7f83772000 0x11d3000  0x11d3000  com.apple.kext.AMDRadeonX4000HWLibs (1.0) D0492419-441E-366C-A5FF-767713D6ABAA <13 6 5 3 1>
  143    0 0xffffff7f8350f000 0x8000     0x8000     com.apple.driver.AudioAUUC (1.70) 64F509A8-B7FA-3867-B01D-C037850DF383 <106 87 13 12 8 6 5 3 1>
  144    0 0xffffff7f84a6e000 0x4000     0x4000     com.radiosilenceapp.nke.filter (2.2) 3A2ED084-A6E7-3BEB-A0EC-1B7DE0EB41F6 <5 1>
  145    1 0xffffff7f831e5000 0x5000     0x5000     com.apple.kext.triggers (1.0) 3EBFD75F-1E4F-385D-A95F-7BFCC2528DBD <8 7 6 5 3 1>
  146    0 0xffffff7f831ea000 0xb000     0xb000     com.apple.filesystems.autofs (3.0) 89C7C663-49A6-38FD-930F-649EC70DA70F <145 8 7 6 5 3 2 1>
  147    0 0xffffff7f83083000 0x3d000    0x3d000    com.apple.kext.AMDFramebuffer (3.0.8) 6E140F21-6547-3913-9A7F-C7FA19E607C1 <116 106 13 12 8 6 5 3 1>
  148    1 0xffffff7f823b7000 0x4000     0x4000     com.apple.iokit.IOSMBusFamily (1.1) 2EE7E78C-44EF-3E63-B3E4-78F0AB2AFB01 <6 5 3>
  149    1 0xffffff7f8332b000 0xe000     0xe000     com.apple.driver.AppleSMBusController (1.0.18d1) ED373301-F4A5-368A-ABA5-54403A51A7AA <148 13 12 6 5 3>
  150    0 0xffffff7f8333c000 0x17000    0x17000    com.apple.driver.AppleMCCSControl (1.11) 66FD10EE-8C22-3A37-8F20-AF0A09F86A59 <149 106 15 13 12 8 6 5 3 1>
  151    0 0xffffff7f83074000 0x9000     0x9000     com.apple.driver.AppleUpstreamUserClient (3.6.8) BCA33F71-3A58-3432-A61A-BFE9D426D864 <106 13 12 8 6 5 3 1>
  152    0 0xffffff7f81909000 0x1c000    0x1c000    com.apple.fileutil (20.036.15) DD21BCDB-0132-366E-871D-E83984C15D40 <6 5 3 2 1>
  153    1 0xffffff7f814cd000 0xb4000    0xb4000    com.apple.plugin.IOgPTPPlugin (840.3) 7D25E511-C312-36E1-A8FE-7F24680BC6EB <78 73 60 19 18 9 7 6 5 3 1>
  154    0 0xffffff7f82103000 0x23000    0x23000    com.apple.iokit.IOAVBFamily (840.3) 8EE5673D-08D1-390F-BBCD-2F9087C57571 <153 78 19 18 7 6 5 3 1>
  155    0 0xffffff7f84a72000 0xe000     0xe000     com.pikeralpha.driver.AppleIntelInfo (2.9) 12837F9E-5EAA-3809-A1D4-7BDE947ED9DA <8 6 5 3 1>
